ID,GSM429956,GSM429961,GSM429980,GSM429981,
AFFX-BioB-5_at,61.1,47.8,50.2,84.2,
AFFX-BioB-M_at,74,58.1,47.2,103.2,
AFFX-BioB-3_at,57.5,52.5,51.7,98.5,
AFFX-BioC-5_at,178.1,155.6,150,260.5,
AFFX-BioC-3_at,157.1,140.1,141.9,199.2,
AFFX-BioDn-5_at,307.8,268.9,256.4,397.8,
AFFX-BioDn-3_at,616.5,496.9,472.3,766.9,
AFFX-CreX-5_at,1776.1,1467.3,1353.4,2183.3,
AFFX-CreX-3_at,2363.2,2394.6,2256.1,3206.8,
AFFX-DapX-5_at,39.6,42.3,41.7,37.1,
AFFX-DapX-M_at,145.2,141,153,135.2,
AFFX-DapX-3_at,440,403.5,395,439,
AFFX-LysX-5_at,13.9,18,11.8,15.9,
AFFX-LysX-M_at,35.6,34.2,29.7,26,
AFFX-LysX-3_at,118.8,108.6,78.5,91.2,
AFFX-PheX-5_at,10.9,11.7,15.3,9.6,
AFFX-PheX-M_at,24.7,23.2,20,20.8,
AFFX-PheX-3_at,56.1,46.9,65.9,67.3,
AFFX-ThrX-5_at,12.6,8.7,9.2,8.9,
AFFX-ThrX-M_at,25,23.8,28,25,
AFFX-ThrX-3_at,89.1,88.9,116.2,85.6,
AFFX-TrpnX-5_at,2.3,3.7,1,5.6,
AFFX-TrpnX-M_at,0.2,0.2,0.2,0.3,
AFFX-TrpnX-3_at,2.4,3.7,0.5,1.4,
AFFX-r2-Ec-bioB-5_at,67.5,64.4,58.8,99.6,
AFFX-r2-Ec-bioB-M_at,85.6,73.5,62.7,82.2,
AFFX-r2-Ec-bioB-3_at,80.9,69.4,61.8,91.7,
AFFX-r2-Ec-bioC-5_at,273.1,217,196.6,251.4,
AFFX-r2-Ec-bioC-3_at,267.1,234.1,227.8,362.2,
AFFX-r2-Ec-bioD-5_at,630.1,559.1,468.9,720.3,
AFFX-r2-Ec-bioD-3_at,920.7,731.6,663.7,922.7,
AFFX-r2-P1-cre-5_at,2811.5,2508.1,2606.9,3201,
AFFX-r2-P1-cre-3_at,3583.8,3167.9,2960.9,3702.5,
AFFX-r2-Bs-dap-5_at,40.3,33.9,41.4,34.7,
AFFX-r2-Bs-dap-M_at,140.8,139.4,165.5,109.6,
AFFX-r2-Bs-dap-3_at,284.5,293.9,281.8,259.3,
AFFX-r2-Bs-lys-5_at,22.1,18.5,20.3,17,
AFFX-r2-Bs-lys-M_at,21.9,20.9,24,20.5,
AFFX-r2-Bs-lys-3_at,51,44.5,47.7,36.2,
AFFX-r2-Bs-phe-5_at,25.2,21.2,16.2,18.4,
AFFX-r2-Bs-phe-M_at,36.8,36.3,34.1,25.8,
AFFX-r2-Bs-phe-3_at,71.8,67.6,81.4,61.1,
AFFX-r2-Bs-thr-3_s_at,132.3,137.7,132.6,91.9,
AFFX-r2-Bs-thr-M_s_at,42.5,45.5,43.9,42.2,
AFFX-r2-Bs-thr-5_s_at,13,13.9,12,9.7,
AFFX-r2-At-U12639_at,4.7,3.9,3.7,0.8,
AFFX-r2-At-Actin-5_s_at,959.3,945.9,1125.6,1359.4,
